name,ticker,ticker_ex,sector,industry,cik_id,exchange_id,currency,instrument
3M Company,MMM,MMM US,Industrials,Industrial Conglomerates,66740,US,USD,Stock
Abbott Laboratories,ABT,ABT US,Health Care,Health Care Equipment,1800,US,USD,Stock
AbbVie Inc.,ABBV,ABBV US,Health Care,Pharmaceuticals,1551152,US,USD,Stock
ABIOMED Inc,ABMD,ABMD US,Health Care,Health Care Equipment,815094,US,USD,Stock
Accenture plc,ACN,ACN US,Information Technology,IT Consulting & Other Services,1467373,US,USD,Stock
Activision Blizzard,ATVI,ATVI US,Communication Services,Interactive Home Entertainment,718877,US,USD,Stock
Adobe Systems Inc,ADBE,ADBE US,Information Technology,Application Software,796343,US,USD,Stock
Advanced Micro Devices Inc,AMD,AMD US,Information Technology,Semiconductors,2488,US,USD,Stock
Advance Auto Parts,AAP,AAP US,Consumer Discretionary,Automotive Retail,1158449,US,USD,Stock
AES Corp,AES,AES US,Utilities,Independent Power Producers & Energy Traders,874761,US,USD,Stock
Affiliated Managers Group Inc,AMG,AMG US,Financials,Asset Management & Custody Banks,1004434,US,USD,Stock
AFLAC Inc,AFL,AFL US,Financials,Life & Health Insurance,4977,US,USD,Stock
Agilent Technologies Inc,A,A US,Health Care,Health Care Equipment,1090872,US,USD,Stock
Air Products & Chemicals Inc,APD,APD US,Materials,Industrial Gases,2969,US,USD,Stock
Akamai Technologies Inc,AKAM,AKAM US,Information Technology,Internet Services & Infrastructure,1086222,US,USD,Stock
Alaska Air Group Inc,ALK,ALK US,Industrials,Airlines,766421,US,USD,Stock
Albemarle Corp,ALB,ALB US,Materials,Specialty Chemicals,915913,US,USD,Stock
Alexandria Real Estate Equities Inc,ARE,ARE US,Real Estate,Office REITs,1035443,US,USD,Stock
Alexion Pharmaceuticals,ALXN,ALXN US,Health Care,Biotechnology,899866,US,USD,Stock
Align Technology,ALGN,ALGN US,Health Care,Health Care Supplies,1097149,US,USD,Stock
Allegion,ALLE,ALLE US,Industrials,Building Products,1579241,US,USD,Stock
"Allergan, Plc",AGN,AGN US,Health Care,Pharmaceuticals,1578845,US,USD,Stock
Alliance Data Systems,ADS,ADS US,Information Technology,Data Processing & Outsourced Services,1101215,US,USD,Stock
Alliant Energy Corp,LNT,LNT US,Utilities,Electric Utilities,352541,US,USD,Stock
Allstate Corp,ALL,ALL US,Financials,Property & Casualty Insurance,899051,US,USD,Stock
Alphabet Inc Class A,GOOGL,GOOGL US,Communication Services,Interactive Media & Services,1652044,US,USD,Stock
Alphabet Inc Class C,GOOG,GOOG US,Communication Services,Interactive Media & Services,1652044,US,USD,Stock
Altria Group Inc,MO,MO US,Consumer Staples,Tobacco,764180,US,USD,Stock
Amazon.com Inc.,AMZN,AMZN US,Consumer Discretionary,Internet & Direct Marketing Retail,1018724,US,USD,Stock
Ameren Corp,AEE,AEE US,Utilities,Multi-Utilities,1002910,US,USD,Stock
American Airlines Group,AAL,AAL US,Industrials,Airlines,6201,US,USD,Stock
American Electric Power,AEP,AEP US,Utilities,Electric Utilities,4904,US,USD,Stock
American Express Co,AXP,AXP US,Financials,Consumer Finance,4962,US,USD,Stock
American International Group,AIG,AIG US,Financials,Property & Casualty Insurance,5272,US,USD,Stock
American Tower Corp.,AMT,AMT US,Real Estate,Specialized REITs,1053507,US,USD,Stock
American Water Works Company Inc,AWK,AWK US,Utilities,Water Utilities,1410636,US,USD,Stock
Ameriprise Financial,AMP,AMP US,Financials,Asset Management & Custody Banks,820027,US,USD,Stock
AmerisourceBergen Corp,ABC,ABC US,Health Care,Health Care Distributors,1140859,US,USD,Stock
AMETEK Inc.,AME,AME US,Industrials,Electrical Components & Equipment,1037868,US,USD,Stock
Amgen Inc.,AMGN,AMGN US,Health Care,Biotechnology,318154,US,USD,Stock
Amphenol Corp,APH,APH US,Information Technology,Electronic Components,820313,US,USD,Stock
Anadarko Petroleum Corp,APC,APC US,Energy,Oil & Gas Exploration & Production,773910,US,USD,Stock
"Analog Devices, Inc.",ADI,ADI US,Information Technology,Semiconductors,6281,US,USD,Stock
ANSYS,ANSS,ANSS US,Information Technology,Application Software,1013462,US,USD,Stock
Anthem Inc.,ANTM,ANTM US,Health Care,Managed Health Care,1156039,US,USD,Stock
Aon plc,AON,AON US,Financials,Insurance Brokers,315293,US,USD,Stock
A.O. Smith Corp,AOS,AOS US,Industrials,Building Products,91142,US,USD,Stock
Apache Corporation,APA,APA US,Energy,Oil & Gas Exploration & Production,6769,US,USD,Stock
Apartment Investment & Management (Aimco),AIV,AIV US,Real Estate,Residential REITs,922864,US,USD,Stock
Apple Inc.,AAPL,AAPL US,Information Technology,"Technology Hardware, Storage & Peripherals",320193,US,USD,Stock
Applied Materials Inc.,AMAT,AMAT US,Information Technology,Semiconductor Equipment,6951,US,USD,Stock
Aptiv Plc,APTV,APTV US,Consumer Discretionary,Auto Parts & Equipment,1521332,US,USD,Stock
Archer-Daniels-Midland Co,ADM,ADM US,Consumer Staples,Agricultural Products,7084,US,USD,Stock
Arconic Inc.,ARNC,ARNC US,Industrials,Aerospace & Defense,4281,US,USD,Stock
Arista Networks,ANET,ANET US,Information Technology,Communications Equipment,1596532,US,USD,Stock
Arthur J. Gallagher & Co.,AJG,AJG US,Financials,Insurance Brokers,354190,US,USD,Stock
Assurant Inc.,AIZ,AIZ US,Financials,Multi-line Insurance,1267238,US,USD,Stock
AT&T Inc.,T,T US,Communication Services,Integrated Telecommunication Services,732717,US,USD,Stock
Autodesk Inc.,ADSK,ADSK US,Information Technology,Application Software,769397,US,USD,Stock
Automatic Data Processing,ADP,ADP US,Information Technology,Internet Software & Services,8670,US,USD,Stock
AutoZone Inc,AZO,AZO US,Consumer Discretionary,Specialty Stores,866787,US,USD,Stock
"AvalonBay Communities, Inc.",AVB,AVB US,Real Estate,Residential REITs,915912,US,USD,Stock
Avery Dennison Corp,AVY,AVY US,Materials,Paper Packaging,8818,US,USD,Stock
"Baker Hughes, a GE Company",BHGE,BHGE US,Energy,Oil & Gas Equipment & Services,1701605,US,USD,Stock
Ball Corp,BLL,BLL US,Materials,Metal & Glass Containers,9389,US,USD,Stock
Bank of America Corp,BAC,BAC US,Financials,Diversified Banks,70858,US,USD,Stock
The Bank of New York Mellon Corp.,BK,BK US,Financials,Asset Management & Custody Banks,1390777,US,USD,Stock
Baxter International Inc.,BAX,BAX US,Health Care,Health Care Equipment,10456,US,USD,Stock
BB&T Corporation,BBT,BBT US,Financials,Regional Banks,92230,US,USD,Stock
Becton Dickinson,BDX,BDX US,Health Care,Health Care Equipment,10795,US,USD,Stock
Berkshire Hathaway,BRK-B,BRK-B US,Financials,Multi-Sector Holdings,1067983,US,USD,Stock
Best Buy Co. Inc.,BBY,BBY US,Consumer Discretionary,Computer & Electronics Retail,764478,US,USD,Stock
Biogen Inc.,BIIB,BIIB US,Health Care,Biotechnology,875045,US,USD,Stock
BlackRock,BLK,BLK US,Financials,Asset Management & Custody Banks,1364742,US,USD,Stock
Block H&R,HRB,HRB US,Consumer Discretionary,Specialized Consumer Services,12659,US,USD,Stock
Boeing Company,BA,BA US,Industrials,Aerospace & Defense,12927,US,USD,Stock
Booking Holdings Inc,BKNG,BKNG US,Consumer Discretionary,Internet & Direct Marketing Retail,1075531,US,USD,Stock
BorgWarner,BWA,BWA US,Consumer Discretionary,Auto Parts & Equipment,908255,US,USD,Stock
Boston Properties,BXP,BXP US,Real Estate,Office REITs,1037540,US,USD,Stock
Boston Scientific,BSX,BSX US,Health Care,Health Care Equipment,885725,US,USD,Stock
Brighthouse Financial Inc,BHF,BHF US,Financials,Life & Health Insurance,1685040,US,USD,Stock
Bristol-Myers Squibb,BMY,BMY US,Health Care,Health Care Distributors,14272,US,USD,Stock
Broadcom,AVGO,AVGO US,Information Technology,Semiconductors,1441634,US,USD,Stock
Broadridge Financial Solutions,BR,BR US,Information Technology,Data Processing & Outsourced Services,1383312,US,USD,Stock
Brown-Forman Corp.,BF-B,BF-B US,Consumer Staples,Distillers & Vintners,14693,US,USD,Stock
C. H. Robinson Worldwide,CHRW,CHRW US,Industrials,Air Freight & Logistics,1043277,US,USD,Stock
Cabot Oil & Gas,COG,COG US,Energy,Oil & Gas Exploration & Production,858470,US,USD,Stock
Cadence Design Systems,CDNS,CDNS US,Information Technology,Application Software,813672,US,USD,Stock
Campbell Soup,CPB,CPB US,Consumer Staples,Packaged Foods & Meats,16732,US,USD,Stock
Capital One Financial,COF,COF US,Financials,Consumer Finance,927628,US,USD,Stock
Capri Holdings,CPRI,CPRI US,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1530721,US,USD,Stock
Cardinal Health Inc.,CAH,CAH US,Health Care,Health Care Distributors,721371,US,USD,Stock
Carmax Inc,KMX,KMX US,Consumer Discretionary,Specialty Stores,1170010,US,USD,Stock
Carnival Corp.,CCL,CCL US,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",815097,US,USD,Stock
Caterpillar Inc.,CAT,CAT US,Industrials,Construction Machinery & Heavy Trucks,18230,US,USD,Stock
Cboe Global Markets,CBOE,CBOE US,Financials,Financial Exchanges & Data,1374310,US,USD,Stock
CBRE Group,CBRE,CBRE US,Real Estate,Real Estate Services,1138118,US,USD,Stock
CBS Corp.,CBS,CBS US,Communication Services,Broadcasting,813828,US,USD,Stock
Celanese Corp.,CE,CE US,Materials,Specialty Chemicals,1306830,US,USD,Stock
Celgene Corp.,CELG,CELG US,Health Care,Biotechnology,816284,US,USD,Stock
Centene Corporation,CNC,CNC US,Health Care,Managed Health Care,1071739,US,USD,Stock
CenterPoint Energy,CNP,CNP US,Utilities,Multi-Utilities,1130310,US,USD,Stock
CenturyLink Inc,CTL,CTL US,Communication Services,Integrated Telecommunication Services,18926,US,USD,Stock
Cerner,CERN,CERN US,Health Care,Health Care Technology,804753,US,USD,Stock
CF Industries Holdings Inc,CF,CF US,Materials,Fertilizers & Agricultural Chemicals,1324404,US,USD,Stock
Charles Schwab Corporation,SCHW,SCHW US,Financials,Investment Banking & Brokerage,316709,US,USD,Stock
Charter Communications,CHTR,CHTR US,Communication Services,Cable & Satellite,1091667,US,USD,Stock
Chevron Corp.,CVX,CVX US,Energy,Integrated Oil & Gas,93410,US,USD,Stock
Chipotle Mexican Grill,CMG,CMG US,Consumer Discretionary,Restaurants,1058090,US,USD,Stock
Chubb Limited,CB,CB US,Financials,Property & Casualty Insurance,896159,US,USD,Stock
Church & Dwight,CHD,CHD US,Consumer Staples,Household Products,313927,US,USD,Stock
CIGNA Corp.,CI,CI US,Health Care,Managed Health Care,701221,US,USD,Stock
Cimarex Energy,XEC,XEC US,Energy,Oil & Gas Exploration & Production,1168054,US,USD,Stock
Cincinnati Financial,CINF,CINF US,Financials,Property & Casualty Insurance,20286,US,USD,Stock
Cintas Corporation,CTAS,CTAS US,Industrials,Diversified Support Services,723254,US,USD,Stock
Cisco Systems,CSCO,CSCO US,Information Technology,Communications Equipment,858877,US,USD,Stock
Citigroup Inc.,C,C US,Financials,Diversified Banks,831001,US,USD,Stock
Citizens Financial Group,CFG,CFG US,Financials,Regional Banks,759944,US,USD,Stock
Citrix Systems,CTXS,CTXS US,Information Technology,Internet Software & Services,877890,US,USD,Stock
The Clorox Company,CLX,CLX US,Consumer Staples,Household Products,21076,US,USD,Stock
CME Group Inc.,CME,CME US,Financials,Financial Exchanges & Data,1156375,US,USD,Stock
CMS Energy,CMS,CMS US,Utilities,Multi-Utilities,811156,US,USD,Stock
Coca-Cola Company (The),KO,KO US,Consumer Staples,Soft Drinks,21344,US,USD,Stock
